UserId,Tau
"3602058","1205"
"2892562","1894"
"14923283","339.333333333333"
"17292450","86.75"
"11295891","1075"
"8076237","4493"
"12732391","233.4"
"15780618","1533"
"6305107","138"
"12886203","828.5"
"16846477","364"
"15225883","4325"
"17178505","284"
"15845644","3287"
"1025539","602"
"2381348","1058.66666666667"
"2891426","508.285714285714"
"10514633","1304.5"
"2664167","663"
"854279","964"
"12091248","2698"
"8851116","740.555555555556"
"16742952","482.5"
"14927272","558.5"
"12379384","464"
"5634712","45"
"11625783","550.25"
"2914171","2674"
"16655026","166"
"9811718","310.277777777778"
"12315731","2906"
"16007482","312.25"
"16291715","5"
"11313226","222.5"
"13649355","874"
"14405536","1682"
"3999327","675"
"1146739","2136"
"9163603","4038"
"1371947","510.4"
"4405923","868.166666666667"
"14344407","3579"
"10555433","126.666666666667"
"13543224","170.333333333333"
"171485","2006"
"17308143","988"
"17761106","88"
"15340142","1163"
"1042072","1115.71428571429"
"15013352","849.5"
"9948237","2592"
"10561878","5427"
"12103068","376.333333333333"
"1863111","1180.5"
"7740825","228.7"
"15771469","283"
"5790193","6914"
"16663256","16"
"15592854","338"
"802365","126.5"
"960875","791.5"
"5204452","1462"
"5873079","1660"
"14201102","514.333333333333"
"13040949","398.5"
"10840596","167.5"
"12275142","224.25"
"16952130","121"
"10356053","3137"
"14945006","263.5"
"15421828","23.8571428571429"
"1809196","873"
"12270684","1158.6"
"16148657","496.75"
"532057","287"
"17467029","171"
"14247485","1272"
"16423428","473.5"
"189572","1806.5"
"14513386","1491.66666666667"
"13022189","21.5"
"16616218","1702"
"2878777","398.333333333333"
"9699549","693"
"13630170","214.5"
"13911823","2075"
"14486957","4824"
"4548949","320"
"3729882","669"
"16763688","367"
"13491193","1827.5"
"13925999","80"
"15740111","3"
"398441","427.823529411765"
"6561127","2581"
"15059003","1933"
"17229808","441.666666666667"
"11355970","751.222222222222"
"11903003","3936"
"12802827","776"
"9931497","145"
"14746965","1754"
"15777445","1037"
"4176599","1899"
"16636381","76"
"16439725","776.666666666667"
"10254862","342"
